title,notes,download-request-name,download-request-URL,download-request-format,technical_report-name,technical_report-URL,technical_report-format,codebook-name,codebook-URL,codebook-format,additional_material-name,additional_material-URL,additional_material-format,license,dataset_name,location,latitude,longitude,start_date,end_date,dataset_type,sensor_type,size,dataset_format,other_format,number_participants,language,collection_name,project_url,organization,domain,5_stars,publication_date,identifier,request_contact
2018-SU2-Accelerometer Event,"The dataset is part of SmartUnitn2 data collection, which contains diachronic data about the everyday life of 158 university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from 27 sensors associated to around 100+ thousand self-reported annotations. The data collection is based on an ontological representation of the situational context and follows various reference standards, e.g., HETUS and the Big Five. These datasets offer unique opportunities to investigate the daily routines of university students in a multi-layered perspective.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2018-SmartUnitn2-technical_report,https://drive.google.com/file/d/1mSIBHgKJBw07crEjMTYEi3ylpPL-62fB/view?usp=sharing,PDF,"2018-SmartUnitn2-codebook(a), 2018-SmartUnitn2-codebook(b), 2018-SmartUnitn2-codebook(c)","https://drive.google.com/file/d/1WMWGQ_gQuAUWZOf6RrHWBTN2k4wW8-tX/view?usp=sharing, https://drive.google.com/file/d/1WGYy8DdDO2C81GXRJ2OOPB80QNgbowq_/view?usp=sharing, https://drive.google.com/file/d/1WIcaWAjYeKEfW5_1oFoXNU0qaiwwfFC7/view?usp=sharing",PDF,2018-SmartUnitn2-additional_material-questionnaire,https://drive.google.com/file/d/1yY8RNaWO_eh4-UnXHkL2jpZld2739K3K/view?usp=share_link,PDF,./../../resources/2023LivePeopleLicense.html,Accelerometer Event,Trento (Italy),46.07,11.13,2018-05-07,2018-06-07,Sensor, Motion,27442MB,parquet,csv,148,unknown,SmartUnitn2,http://www.smart-society-project.eu/,University of Trento - KnowDive,Digital University,3,7/4/2023,002.AAAB.AAA.AY,datadistribution.knowdive@unitn.it
2018-SU2-Activities Per Label,"The dataset is part of SmartUnitn2 data collection, which contains diachronic data about the everyday life of 158 university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from 27 sensors associated to around 100+ thousand self-reported annotations. The data collection is based on an ontological representation of the situational context and follows various reference standards, e.g., HETUS and the Big Five. These datasets offer unique opportunities to investigate the daily routines of university students in a multi-layered perspective.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2018-SmartUnitn2-technical_report,https://drive.google.com/file/d/1mSIBHgKJBw07crEjMTYEi3ylpPL-62fB/view?usp=sharing,PDF,"2018-SmartUnitn2-codebook(a), 2018-SmartUnitn2-codebook(b), 2018-SmartUnitn2-codebook(c)","https://drive.google.com/file/d/1WMWGQ_gQuAUWZOf6RrHWBTN2k4wW8-tX/view?usp=sharing, https://drive.google.com/file/d/1WGYy8DdDO2C81GXRJ2OOPB80QNgbowq_/view?usp=sharing, https://drive.google.com/file/d/1WIcaWAjYeKEfW5_1oFoXNU0qaiwwfFC7/view?usp=sharing",PDF,2018-SmartUnitn2-additional_material-questionnaire,https://drive.google.com/file/d/1yY8RNaWO_eh4-UnXHkL2jpZld2739K3K/view?usp=share_link,PDF,./../../resources/2023LivePeopleLicense.html,Activities Per Label,Trento (Italy),46.07,11.13,2018-05-07,2018-06-07,Sensor, Motion,1MB,parquet,csv,1,unknown,SmartUnitn2,http://www.smart-society-project.eu/,University of Trento - KnowDive,Digital University,3,7/4/2023,002.AAAB.AAA.BE,datadistribution.knowdive@unitn.it
2018-SU2-Activities Per Time,"The dataset is part of SmartUnitn2 data collection, which contains diachronic data about the everyday life of 158 university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from 27 sensors associated to around 100+ thousand self-reported annotations. The data collection is based on an ontological representation of the situational context and follows various reference standards, e.g., HETUS and the Big Five. These datasets offer unique opportunities to investigate the daily routines of university students in a multi-layered perspective.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2018-SmartUnitn2-technical_report,https://drive.google.com/file/d/1mSIBHgKJBw07crEjMTYEi3ylpPL-62fB/view?usp=sharing,PDF,"2018-SmartUnitn2-codebook(a), 2018-SmartUnitn2-codebook(b), 2018-SmartUnitn2-codebook(c)","https://drive.google.com/file/d/1WMWGQ_gQuAUWZOf6RrHWBTN2k4wW8-tX/view?usp=sharing, https://drive.google.com/file/d/1WGYy8DdDO2C81GXRJ2OOPB80QNgbowq_/view?usp=sharing, https://drive.google.com/file/d/1WIcaWAjYeKEfW5_1oFoXNU0qaiwwfFC7/view?usp=sharing",PDF,2018-SmartUnitn2-additional_material-questionnaire,https://drive.google.com/file/d/1yY8RNaWO_eh4-UnXHkL2jpZld2739K3K/view?usp=share_link,PDF,./../../resources/2023LivePeopleLicense.html,Activities Per Time,Trento (Italy),46.07,11.13,2018-05-07,2018-06-07,Sensor, Motion,1MB,parquet,csv,1,unknown,SmartUnitn2,http://www.smart-society-project.eu/,University of Trento - KnowDive,Digital University,3,7/4/2023,002.AAAB.AAA.BF,datadistribution.knowdive@unitn.it
2018-SU2-Airplane Mode Event,"The dataset is part of SmartUnitn2 data collection, which contains diachronic data about the everyday life of 158 university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from 27 sensors associated to around 100+ thousand self-reported annotations. The data collection is based on an ontological representation of the situational context and follows various reference standards, e.g., HETUS and the Big Five. These datasets offer unique opportunities to investigate the daily routines of university students in a multi-layered perspective.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2018-SmartUnitn2-technical_report,https://drive.google.com/file/d/1mSIBHgKJBw07crEjMTYEi3ylpPL-62fB/view?usp=sharing,PDF,"2018-SmartUnitn2-codebook(a), 2018-SmartUnitn2-codebook(b), 2018-SmartUnitn2-codebook(c)","https://drive.google.com/file/d/1WMWGQ_gQuAUWZOf6RrHWBTN2k4wW8-tX/view?usp=sharing, https://drive.google.com/file/d/1WGYy8DdDO2C81GXRJ2OOPB80QNgbowq_/view?usp=sharing, https://drive.google.com/file/d/1WIcaWAjYeKEfW5_1oFoXNU0qaiwwfFC7/view?usp=sharing",PDF,2018-SmartUnitn2-additional_material-questionnaire,https://drive.google.com/file/d/1yY8RNaWO_eh4-UnXHkL2jpZld2739K3K/view?usp=share_link,PDF,./../../resources/2023LivePeopleLicense.html,Airplane Mode Event,Trento (Italy),46.07,11.13,2018-05-07,2018-06-07,Sensor, Device usage,1MB,parquet,csv,88,unknown,SmartUnitn2,http://www.smart-society-project.eu/,University of Trento - KnowDive,Digital University,3,7/4/2023,002.AAAB.AAA.BS,datadistribution.knowdive@unitn.it
2018-SU2-Application Event,"The dataset is part of SmartUnitn2 data collection, which contains diachronic data about the everyday life of 158 university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from 27 sensors associated to around 100+ thousand self-reported annotations. The data collection is based on an ontological representation of the situational context and follows various reference standards, e.g., HETUS and the Big Five. These datasets offer unique opportunities to investigate the daily routines of university students in a multi-layered perspective.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2018-SmartUnitn2-technical_report,https://drive.google.com/file/d/1mSIBHgKJBw07crEjMTYEi3ylpPL-62fB/view?usp=sharing,PDF,"2018-SmartUnitn2-codebook(a), 2018-SmartUnitn2-codebook(b), 2018-SmartUnitn2-codebook(c)","https://drive.google.com/file/d/1WMWGQ_gQuAUWZOf6RrHWBTN2k4wW8-tX/view?usp=sharing, https://drive.google.com/file/d/1WGYy8DdDO2C81GXRJ2OOPB80QNgbowq_/view?usp=sharing, https://drive.google.com/file/d/1WIcaWAjYeKEfW5_1oFoXNU0qaiwwfFC7/view?usp=sharing",PDF,2018-SmartUnitn2-additional_material-questionnaire,https://drive.google.com/file/d/1yY8RNaWO_eh4-UnXHkL2jpZld2739K3K/view?usp=share_link,PDF,./../../resources/2023LivePeopleLicense.html,Application Event,Trento (Italy),46.07,11.13,2018-05-07,2018-06-07,Sensor, App usage,145MB,parquet,csv,124,unknown,SmartUnitn2,http://www.smart-society-project.eu/,University of Trento - KnowDive,Digital University,3,7/4/2023,002.AAAB.AAA.AG,datadistribution.knowdive@unitn.it
2018-SU2-Battery Charge Event,"The dataset is part of SmartUnitn2 data collection, which contains diachronic data about the everyday life of 158 university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from 27 sensors associated to around 100+ thousand self-reported annotations. The data collection is based on an ontological representation of the situational context and follows various reference standards, e.g., HETUS and the Big Five. These datasets offer unique opportunities to investigate the daily routines of university students in a multi-layered perspective.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2018-SmartUnitn2-technical_report,https://drive.google.com/file/d/1mSIBHgKJBw07crEjMTYEi3ylpPL-62fB/view?usp=sharing,PDF,"2018-SmartUnitn2-codebook(a), 2018-SmartUnitn2-codebook(b), 2018-SmartUnitn2-codebook(c)","https://drive.google.com/file/d/1WMWGQ_gQuAUWZOf6RrHWBTN2k4wW8-tX/view?usp=sharing, https://drive.google.com/file/d/1WGYy8DdDO2C81GXRJ2OOPB80QNgbowq_/view?usp=sharing, https://drive.google.com/file/d/1WIcaWAjYeKEfW5_1oFoXNU0qaiwwfFC7/view?usp=sharing",PDF,2018-SmartUnitn2-additional_material-questionnaire,https://drive.google.com/file/d/1yY8RNaWO_eh4-UnXHkL2jpZld2739K3K/view?usp=share_link,PDF,./../../resources/2023LivePeopleLicense.html,Battery Charge Event,Trento (Italy),46.07,11.13,2018-05-07,2018-06-07,Sensor, Device usage,1MB,parquet,csv,147,unknown,SmartUnitn2,http://www.smart-society-project.eu/,University of Trento - KnowDive,Digital University,3,7/4/2023,002.AAAB.AAA.BT,datadistribution.knowdive@unitn.it
2018-SU2-Cellular Network,"The dataset is part of SmartUnitn2 data collection, which contains diachronic data about the everyday life of 158 university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from 27 sensors associated to around 100+ thousand self-reported annotations. The data collection is based on an ontological representation of the situational context and follows various reference standards, e.g., HETUS and the Big Five. These datasets offer unique opportunities to investigate the daily routines of university students in a multi-layered perspective.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2018-SmartUnitn2-technical_report,https://drive.google.com/file/d/1mSIBHgKJBw07crEjMTYEi3ylpPL-62fB/view?usp=sharing,PDF,"2018-SmartUnitn2-codebook(a), 2018-SmartUnitn2-codebook(b), 2018-SmartUnitn2-codebook(c)","https://drive.google.com/file/d/1WMWGQ_gQuAUWZOf6RrHWBTN2k4wW8-tX/view?usp=sharing, https://drive.google.com/file/d/1WGYy8DdDO2C81GXRJ2OOPB80QNgbowq_/view?usp=sharing, https://drive.google.com/file/d/1WIcaWAjYeKEfW5_1oFoXNU0qaiwwfFC7/view?usp=sharing",PDF,2018-SmartUnitn2-additional_material-questionnaire,https://drive.google.com/file/d/1yY8RNaWO_eh4-UnXHkL2jpZld2739K3K/view?usp=share_link,PDF,./../../resources/2023LivePeopleLicense.html,Cellular Network,Trento (Italy),46.07,11.13,2018-05-07,2018-06-07,Sensor, Connectivity,15MB,parquet,csv,98,unknown,SmartUnitn2,http://www.smart-society-project.eu/,University of Trento - KnowDive,Digital University,3,7/4/2023,002.AAAB.AAA.AM,datadistribution.knowdive@unitn.it
2018-SU2-Gravity Event,"The dataset is part of SmartUnitn2 data collection, which contains diachronic data about the everyday life of 158 university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from 27 sensors associated to around 100+ thousand self-reported annotations. The data collection is based on an ontological representation of the situational context and follows various reference standards, e.g., HETUS and the Big Five. These datasets offer unique opportunities to investigate the daily routines of university students in a multi-layered perspective.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2018-SmartUnitn2-technical_report,https://drive.google.com/file/d/1mSIBHgKJBw07crEjMTYEi3ylpPL-62fB/view?usp=sharing,PDF,"2018-SmartUnitn2-codebook(a), 2018-SmartUnitn2-codebook(b), 2018-SmartUnitn2-codebook(c)","https://drive.google.com/file/d/1WMWGQ_gQuAUWZOf6RrHWBTN2k4wW8-tX/view?usp=sharing, https://drive.google.com/file/d/1WGYy8DdDO2C81GXRJ2OOPB80QNgbowq_/view?usp=sharing, https://drive.google.com/file/d/1WIcaWAjYeKEfW5_1oFoXNU0qaiwwfFC7/view?usp=sharing",PDF,2018-SmartUnitn2-additional_material-questionnaire,https://drive.google.com/file/d/1yY8RNaWO_eh4-UnXHkL2jpZld2739K3K/view?usp=share_link,PDF,./../../resources/2023LivePeopleLicense.html,Gravity Event,Trento (Italy),46.07,11.13,2018-05-07,2018-06-07,Sensor, Motion,18789MB,parquet,csv,104,unknown,SmartUnitn2,http://www.smart-society-project.eu/,University of Trento - KnowDive,Digital University,3,7/4/2023,002.AAAB.AAA.BA,datadistribution.knowdive@unitn.it
2018-SU2-Gyroscope Event,"The dataset is part of SmartUnitn2 data collection, which contains diachronic data about the everyday life of 158 university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from 27 sensors associated to around 100+ thousand self-reported annotations. The data collection is based on an ontological representation of the situational context and follows various reference standards, e.g., HETUS and the Big Five. These datasets offer unique opportunities to investigate the daily routines of university students in a multi-layered perspective.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2018-SmartUnitn2-technical_report,https://drive.google.com/file/d/1mSIBHgKJBw07crEjMTYEi3ylpPL-62fB/view?usp=sharing,PDF,"2018-SmartUnitn2-codebook(a), 2018-SmartUnitn2-codebook(b), 2018-SmartUnitn2-codebook(c)","https://drive.google.com/file/d/1WMWGQ_gQuAUWZOf6RrHWBTN2k4wW8-tX/view?usp=sharing, https://drive.google.com/file/d/1WGYy8DdDO2C81GXRJ2OOPB80QNgbowq_/view?usp=sharing, https://drive.google.com/file/d/1WIcaWAjYeKEfW5_1oFoXNU0qaiwwfFC7/view?usp=sharing",PDF,2018-SmartUnitn2-additional_material-questionnaire,https://drive.google.com/file/d/1yY8RNaWO_eh4-UnXHkL2jpZld2739K3K/view?usp=share_link,PDF,./../../resources/2023LivePeopleLicense.html,Gyroscope Event,Trento (Italy),46.07,11.13,2018-05-07,2018-06-07,Sensor, Motion,18186MB,parquet,csv,91,unknown,SmartUnitn2,http://www.smart-society-project.eu/,University of Trento - KnowDive,Digital University,3,7/4/2023,002.AAAB.AAA.BB,datadistribution.knowdive@unitn.it
2018-SU2-Headset Plug Event,"The dataset is part of SmartUnitn2 data collection, which contains diachronic data about the everyday life of 158 university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from 27 sensors associated to around 100+ thousand self-reported annotations. The data collection is based on an ontological representation of the situational context and follows various reference standards, e.g., HETUS and the Big Five. These datasets offer unique opportunities to investigate the daily routines of university students in a multi-layered perspective.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2018-SmartUnitn2-technical_report,https://drive.google.com/file/d/1mSIBHgKJBw07crEjMTYEi3ylpPL-62fB/view?usp=sharing,PDF,"2018-SmartUnitn2-codebook(a), 2018-SmartUnitn2-codebook(b), 2018-SmartUnitn2-codebook(c)","https://drive.google.com/file/d/1WMWGQ_gQuAUWZOf6RrHWBTN2k4wW8-tX/view?usp=sharing, https://drive.google.com/file/d/1WGYy8DdDO2C81GXRJ2OOPB80QNgbowq_/view?usp=sharing, https://drive.google.com/file/d/1WIcaWAjYeKEfW5_1oFoXNU0qaiwwfFC7/view?usp=sharing",PDF,2018-SmartUnitn2-additional_material-questionnaire,https://drive.google.com/file/d/1yY8RNaWO_eh4-UnXHkL2jpZld2739K3K/view?usp=share_link,PDF,./../../resources/2023LivePeopleLicense.html,Headset Plug Event,Trento (Italy),46.07,11.13,2018-05-07,2018-06-07,Sensor, App usage,1MB,parquet,csv,143,unknown,SmartUnitn2,http://www.smart-society-project.eu/,University of Trento - KnowDive,Digital University,3,7/4/2023,002.AAAB.AAA.AH,datadistribution.knowdive@unitn.it
