title,notes,download-request-name,download-request-URL,download-request-format,technical_report-name,technical_report-URL,technical_report-format,codebook-name,codebook-URL,codebook-format,additional_material-name,additional_material-URL,additional_material-format,license,dataset_name,location,latitude,longitude,start_date,end_date,dataset_type,sensor_type,size,dataset_format,other_format,number_participants,language,collection_name,project_url,organization,domain,5_stars,publication_date,identifier,request_contact
2021-CH1-Trento-Activities Per Label,"The dataset returns a label identifying the activity performed by the user, accurately detected using low power signals from multiple sensors in the device. This is achieved using Google’s Activity Recognition API. Possible activities are; still, in_vehicle, on_bycicle, on_foot, running, tilting, walking. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Activities Per Label-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_activitiesperlabel.html,html,,,,./../../resources/2023LivePeopleLicense.html,Activities Per Label,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Sensor, Motion,,parquet,csv,60,unknown,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.BE,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Activities Per Time,"The dataset returns a label identifying the activity performed by the user, accurately detected using low power signals from multiple sensors in the device. This is achieved using Google’s Activity Recognition API. Possible activities are; still, in_vehicle, on_bycicle, on_foot, running, tilting, walking. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Activities Per Time-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_activitiespertime.html,html,,,,./../../resources/2023LivePeopleLicense.html,Activities Per Time,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Sensor, Motion,,parquet,csv,60,unknown,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.BF,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Application Event,"The dataset returns the name of the application (or application package) that is currently running in the foreground of the phone. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Application Event-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_applicationevent.html,html,,,,./../../resources/2023LivePeopleLicense.html,Application Event,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Sensor, App usage,,parquet,csv,62,unknown,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.AG,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Bluetooth,"The dataset returns wheter the device to wirelessly exchange data with other Bluetooth devices. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Bluetooth-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_bluetoothnormalevent.html,html,,,,./../../resources/2023LivePeopleLicense.html,Bluetooth,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Sensor,Connectivity,,parquet,csv,24,unknown,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.AK,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Bluetooth LTE,"The dataset returns wheter the device to wirelessly exchange data with other Bluetooth Low Energy devices. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Bluetooth LTE-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_bluetoothlowenergyevent.html,html,,,,./../../resources/2023LivePeopleLicense.html,Bluetooth LTE,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Sensor,Connectivity,,parquet,csv,27,unknown,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.AL,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Location Event,"The dataset contains location information using GPS connections. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Location Event-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_locationeventpertime_rd.html,html,,,,./../../resources/2023LivePeopleLicense.html,Location Event,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Sensor, Position,,parquet,csv,54,unknown,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.BM,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Notification Event,"The dataset measures when the phone receives a notification and when it is dismissed by the user. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Notification Event-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_notificationevent.html,html,,,,./../../resources/2023LivePeopleLicense.html,Notification Event,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Sensor, App usage,,parquet,csv,58,unknown,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.AJ,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Doze Mode,"The dataset retunrs whether the doze status is on (true/false). The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Doze Mode-codebook,https://github.com/datascientiafoundation/LivePeople-Documentation/2021-Chatbot1/2021_CH1_notificationevent.html,html,,,,./../../resources/2023LivePeopleLicense.html,Doze Mode,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Sensor, Device usage,,parquet,csv,unknown,unknown,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.BV,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Step Counter Event,"Sensor that returns a label identifying the activity performed by the user, accurately detected using low power signals from multiple sensors in the device. This is achieved using Google’s Activity Recognition API. Possible activities are; still, in_vehicle, on_bycicle, on_foot, running, tilting, walking. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Step Counter Event-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_stepcounterevent.html,html,,,,./../../resources/2023LivePeopleLicense.html,Step Counter Event,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Sensor, Motion,,parquet,csv,54,unknown,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.BH,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Step Detector Event,"Sensor that returns a label identifying the activity performed by the user, accurately detected using low power signals from multiple sensors in the device. This is achieved using Google’s Activity Recognition API. Possible activities are; still, in_vehicle, on_bycicle, on_foot, running, tilting, walking. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Step Detector Event-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_stepdetectorevent.html,html,,,,./../../resources/2023LivePeopleLicense.html,Step Detector Event,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Sensor, Motion,,parquet,csv,45,unknown,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.BI,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Questionnaire Profiling,"The dataset contains profiling questions, e.g., demographics, routines, personality. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Questionnaire Profiling,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Synchronic-Interactions,unknown,,parquet,csv,53,English,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.AA,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Questionnaire-Exit-Survey,"The dataset contains profiling questions, e.g., demographics, routines, personality. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Questionnaire-Exit-Survey-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_Exit_survey.html,html,,,,./../../resources/2023LivePeopleLicense.html,Questionnaire-Exit-Survey,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Synchronic-Interactions,unknown,,parquet,csv,53,English,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.AA,datadistribution.knowdive@unitn.it
2021-CH1-Trento-Chat,"The dataset contains self-reported annotations in form of time diaries, provided by the participants every half hour. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2021-Chatbot1-technical_report,https://drive.google.com/file/d/1m3_2X4b3gv-9tQS45FBCG7IJiVyeHgW3/view?usp=sharing,PDF,2021-Chatbot1-Chat-codebook,https://datascientiafoundation.github.io/LivePeople-Documentation/2021-Chatbot1/2021_CH1_Chat_data.html,html,,,,./../../resources/2023LivePeopleLicense.html,Chat,Trento (Italy),46.07,11.13,2021-03-15,2021-03-29,Diachronic-Interactions,unknown,,parquet,csv,53,English,Chatbot1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAE.AAA.CA,datadistribution.knowdive@unitn.it
