title,notes,download-request-name,download-request-URL,download-request-format,technical_report-name,technical_report-URL,technical_report-format,codebook-name,codebook-URL,codebook-format,additional_material-name,additional_material-URL,additional_material-format,license,dataset_name,location,latitude,longitude,start_date,end_date,dataset_type,sensor_type,size,dataset_format,other_format,number_participants,language,collection_name,project_url,organization,domain,5_stars,publication_date,identifier,request_contact
2022-OC2-Thessaloniki-Accelerometer Event,"The dataset contains the 3D vector of the acceleration.The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions. It collected information on the eating/drinking activities of the students of the UTH University.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,,,,,,,,,,./../../resources/2023LivePeopleLicense.html,Accelerometer Event,Thessaloniki (Greece),40.64,22.94,2022.06.07,2022.07.05,Sensors,Motion,"12053,84 MB",parquet,csv,113,unknown,OC-UTH,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-12-20 00:00:00,006.AAAI.AAK.AY,datadistribution.knowdive@unitn.it
2022-OC2-Thessaloniki-Activities Per Label,"The dataset returns a label identifying the activity performed by the user, accurately detected using low power signals from multiple sensors in the device. This is achieved using Google’s Activity Recognition API. Possible activities are; still, in_vehicle, on_bycicle, on_foot, running, tilting, walking. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions. It collected information on the eating/drinking activities of the students of the UTH University.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,,,,,,,,,,./../../resources/2023LivePeopleLicense.html,Activities Per Label,Thessaloniki (Greece),40.64,22.94,2022.06.07,2022.07.05,Sensors,Motion,"8,05 MB",parquet,csv,97,unknown,OC-UTH,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-12-20 00:00:00,006.AAAI.AAK.BE,datadistribution.knowdive@unitn.it
2022-OC2-Thessaloniki-Activities Per Time,"The dataset returns a label identifying the activity performed by the user, accurately detected using low power signals from multiple sensors in the device. This is achieved using Google’s Activity Recognition API. Possible activities are; still, in_vehicle, on_bycicle, on_foot, running, tilting, walking. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions. It collected information on the eating/drinking activities of the students of the UTH University.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,,,,,,,,,,./../../resources/2023LivePeopleLicense.html,Activities Per Time,Thessaloniki (Greece),40.64,22.94,2022.06.07,2022.07.05,Sensors,Motion,"8,94 MB",parquet,csv,97,unknown,OC-UTH,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-12-20 00:00:00,006.AAAI.AAK.BF,datadistribution.knowdive@unitn.it
2022-OC2-Thessaloniki-Airplane Mode Event,"The dataset returns whether the phone’s Airplane mode is ON/OFF. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions. It collected information on the eating/drinking activities of the students of the UTH University.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,,,,,,,,,,./../../resources/2023LivePeopleLicense.html,Airplane Mode Event,Thessaloniki (Greece),40.64,22.94,2022.06.07,2022.07.05,Sensors,Device-usage,"0,01 MB",parquet,csv,29,unknown,OC-UTH,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-12-20 00:00:00,006.AAAI.AAK.BS,datadistribution.knowdive@unitn.it
2022-OC2-Thessaloniki-Application Event,"The dataset returns the name of the application (or application package) that is currently running in the foreground of the phone. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions. It collected information on the eating/drinking activities of the students of the UTH University.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,,,,,,,,,,./../../resources/2023LivePeopleLicense.html,Application Event,Thessaloniki (Greece),40.64,22.94,2022.06.07,2022.07.05,Sensors,App-usage,"111,24 MB",parquet,csv,113,unknown,OC-UTH,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-12-20 00:00:00,006.AAAI.AAK.AG,datadistribution.knowdive@unitn.it
2022-OC2-Thessaloniki-Battery Monitoring Log,"The dataset returns the phone's battery level. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions. It collected information on the eating/drinking activities of the students of the UTH University.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,,,,,,,,,,./../../resources/2023LivePeopleLicense.html,Battery Monitoring Log,Thessaloniki (Greece),40.64,22.94,2022.06.07,2022.07.05,Sensors,Device-usage,"0,33 MB",parquet,csv,110,unknown,OC-UTH,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-12-20 00:00:00,006.AAAI.AAK.BT,datadistribution.knowdive@unitn.it
2022-OC2-Thessaloniki-Batterycharge Event,"The dataset returns whether the phone is on charge and the type of charger. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions. It collected information on the eating/drinking activities of the students of the UTH University.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,,,,,,,,,,./../../resources/2023LivePeopleLicense.html,Batterycharge Event,Thessaloniki (Greece),40.64,22.94,2022.06.07,2022.07.05,Sensors,Device-usage,"9,31 MB",parquet,csv,113,unknown,OC-UTH,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-12-20 00:00:00,006.AAAI.AAK.BU,datadistribution.knowdive@unitn.it
2022-OC2-Thessaloniki-Bluetooth Low Energy Event,"The dataset returns whether the device to wirelessly exchange data with other Bluetooth Low Energy devices. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions. It collected information on the eating/drinking activities of the students of the UTH University.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,,,,,,,,,,./../../resources/2023LivePeopleLicense.html,Bluetooth Low Energy Event,Thessaloniki (Greece),40.64,22.94,2022.06.07,2022.07.05,Sensors,Connectivity,"13,01 MB",parquet,csv,38,unknown,OC-UTH,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-12-20 00:00:00,006.AAAI.AAK.AL,datadistribution.knowdive@unitn.it
2022-OC2-Thessaloniki-Bluetooth Normal Event,"The dataset returns whether the device to wirelessly exchange data with other Bluetooth devices. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions. It collected information on the eating/drinking activities of the students of the UTH University.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,,,,,,,,,,./../../resources/2023LivePeopleLicense.html,Bluetooth Normal Event,Thessaloniki (Greece),40.64,22.94,2022.06.07,2022.07.05,Sensors,Connectivity,"7,71 MB",parquet,csv,39,unknown,OC-UTH,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-12-20 00:00:00,006.AAAI.AAK.AK,datadistribution.knowdive@unitn.it
2022-OC2-Thessaloniki-Cellular Network,"The dataset contains data from a sensor that periodically collects information about the cellular networks (name, id, type) the smartphone is connected to. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions. It collected information on the eating/drinking activities of the students of the UTH University.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,,,,,,,,,,./../../resources/2023LivePeopleLicense.html,Cellular Network,Thessaloniki (Greece),40.64,22.94,2022.06.07,2022.07.05,Sensors,Connectivity,"5,73 MB",parquet,csv,96,unknown,OC-UTH,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-12-20 00:00:00,006.AAAI.AAK.AM,datadistribution.knowdive@unitn.it
