title,notes,download-request-name,download-request-URL,download-request-format,technical_report-name,technical_report-URL,technical_report-format,codebook-name,codebook-URL,codebook-format,additional_material-name,additional_material-URL,additional_material-format,license,dataset_name,location,latitude,longitude,start_date,end_date,dataset_type,sensor_type,size,dataset_format,other_format,number_participants,language,collection_name,project_url,organization,domain,5_stars,publication_date,identifier,request_contact
2020-DV1-Amrita-Accelerometer Event,"The dataset contains 3D vector of the acceleration. It is part of Wenet Diversity 1 data collection, which contains data about the everyday life activities of students coming from 8 different universities located in China, Denmark, India, Italy, Mexico, Mongolia, Paraguay and UK. The data were collected via questionnaires, data coming from 27 smartphone sensors associated to thousand self-reported annotations over a period of 4 weeks.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_WeNet_Diversity1_Technical-Report(2020-2021),https://drive.google.com/file/d/1TMrjkAEWRZ5xhETJKOCnERgh_Z06PO2E/view?usp=drive_link,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Accelerometer Event,Amrita (India),10.9,76.9,2021.05.26,,Sensors,Motion,"11424,64 MB",parquet,csv,20,unknown,Diversity1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-11-30 00:00:00,004.AAAD.AAG.AY,datadistribution.knowdive@unitn.it
2020-DV1-Amrita-Activities Per Label,"The dataset returns a label identifying the activity performed by the user, accurately detected using low power signals from multiple sensors in the device. This is achieved using Google’s Activity Recognition API. Possible activities are; still, in_vehicle, on_bycicle, on_foot, running, tilting, walking. It is part of Wenet Diversity 1 data collection, which contains data about the everyday life activities of students coming from 8 different universities located in China, Denmark, India, Italy, Mexico, Mongolia, Paraguay and UK. The data were collected via questionnaires, data coming from 27 smartphone sensors associated to thousand self-reported annotations over a period of 4 weeks.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_WeNet_Diversity1_Technical-Report(2020-2021),https://drive.google.com/file/d/1TMrjkAEWRZ5xhETJKOCnERgh_Z06PO2E/view?usp=drive_link,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Activities Per Label,Amrita (India),10.9,76.9,2021.05.26,,Sensors,Motion,"0,71 MB",parquet,csv,19,unknown,Diversity1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-11-30 00:00:00,004.AAAD.AAG.BE,datadistribution.knowdive@unitn.it
2020-DV1-Amrita-Activities Per Time,"The dataset returns a label identifying the activity performed by the user, accurately detected using low power signals from multiple sensors in the device. This is achieved using Google’s Activity Recognition API. Possible activities are; still, in_vehicle, on_bycicle, on_foot, running, tilting, walking.. It is part of Wenet Diversity 1 data collection, which contains data about the everyday life activities of students coming from 8 different universities located in China, Denmark, India, Italy, Mexico, Mongolia, Paraguay and UK. The data were collected via questionnaires, data coming from 27 smartphone sensors associated to thousand self-reported annotations over a period of 4 weeks.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_WeNet_Diversity1_Technical-Report(2020-2021),https://drive.google.com/file/d/1TMrjkAEWRZ5xhETJKOCnERgh_Z06PO2E/view?usp=drive_link,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Activities Per Time,Amrita (India),10.9,76.9,2021.05.26,,Sensors,Motion,"0,71 MB",parquet,csv,19,unknown,Diversity1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-11-30 00:00:00,004.AAAD.AAG.BF,datadistribution.knowdive@unitn.it
2020-DV1-Amrita-Airplane Mode Event,"The dataset returns whether the phone’s Airplane mode is ON/OFF. It is part of Wenet Diversity 1 data collection, which contains data about the everyday life activities of students coming from 8 different universities located in China, Denmark, India, Italy, Mexico, Mongolia, Paraguay and UK. The data were collected via questionnaires, data coming from 27 smartphone sensors associated to thousand self-reported annotations over a period of 4 weeks.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_WeNet_Diversity1_Technical-Report(2020-2021),https://drive.google.com/file/d/1TMrjkAEWRZ5xhETJKOCnERgh_Z06PO2E/view?usp=drive_link,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Airplane Mode Event,Amrita (India),10.9,76.9,2021.05.26,,Sensors,Device-usage,"0,01 MB",parquet,csv,6,unknown,Diversity1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-11-30 00:00:00,004.AAAD.AAG.BS,datadistribution.knowdive@unitn.it
2020-DV1-Amrita-Application Event,"The dataset returns the name of the application (or application package) that is currently running in the foreground of the phone. It is part of Wenet Diversity 1 data collection, which contains data about the everyday life activities of students coming from 8 different universities located in China, Denmark, India, Italy, Mexico, Mongolia, Paraguay and UK. The data were collected via questionnaires, data coming from 27 smartphone sensors associated to thousand self-reported annotations over a period of 4 weeks.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_WeNet_Diversity1_Technical-Report(2020-2021),https://drive.google.com/file/d/1TMrjkAEWRZ5xhETJKOCnERgh_Z06PO2E/view?usp=drive_link,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Application Event,Amrita (India),10.9,76.9,2021.05.26,,Sensors,App-usage,"8,42 MB",parquet,csv,20,unknown,Diversity1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-11-30 00:00:00,004.AAAD.AAG.AG,datadistribution.knowdive@unitn.it
2020-DV1-Amrita-Battery Monitoring Log,"This dataset returns the phone's battery level. It is part of Wenet Diversity 1 data collection, which contains data about the everyday life activities of students coming from 8 different universities located in China, Denmark, India, Italy, Mexico, Mongolia, Paraguay and UK. The data were collected via questionnaires, data coming from 27 smartphone sensors associated to thousand self-reported annotations over a period of 4 weeks.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_WeNet_Diversity1_Technical-Report(2020-2021),https://drive.google.com/file/d/1TMrjkAEWRZ5xhETJKOCnERgh_Z06PO2E/view?usp=drive_link,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Battery Monitoring Log,Amrita (India),10.9,76.9,2021.05.26,,Sensors,Device-usage,"0,82 MB",parquet,csv,20,unknown,Diversity1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-11-30 00:00:00,004.AAAD.AAG.BT,datadistribution.knowdive@unitn.it
2020-DV1-Amrita-Batterycharge Event,"This dataset returns whether the phone is on charge and the type of charger. It is part of Wenet Diversity 1 data collection, which contains data about the everyday life activities of students coming from 8 different universities located in China, Denmark, India, Italy, Mexico, Mongolia, Paraguay and UK. The data were collected via questionnaires, data coming from 27 smartphone sensors associated to thousand self-reported annotations over a period of 4 weeks.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_WeNet_Diversity1_Technical-Report(2020-2021),https://drive.google.com/file/d/1TMrjkAEWRZ5xhETJKOCnERgh_Z06PO2E/view?usp=drive_link,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Batterycharge Event,Amrita (India),10.9,76.9,2021.05.26,,Sensors,Device-usage,"8,80 MB",parquet,csv,20,unknown,Diversity1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-11-30 00:00:00,004.AAAD.AAG.BU,datadistribution.knowdive@unitn.it
2020-DV1-Amrita-Bluetooth Low Energy Event,"This dataset returns whether the device to wirelessly exchange data with other Bluetooth Low Energy devices. It is part of Wenet Diversity 1 data collection, which contains data about the everyday life activities of students coming from 8 different universities located in China, Denmark, India, Italy, Mexico, Mongolia, Paraguay and UK. The data were collected via questionnaires, data coming from 27 smartphone sensors associated to thousand self-reported annotations over a period of 4 weeks.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_WeNet_Diversity1_Technical-Report(2020-2021),https://drive.google.com/file/d/1TMrjkAEWRZ5xhETJKOCnERgh_Z06PO2E/view?usp=drive_link,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Bluetooth Low Energy Event,Amrita (India),10.9,76.9,2021.05.26,,Sensors,Connectivity,"0,55 MB",parquet,csv,11,unknown,Diversity1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-11-30 00:00:00,004.AAAD.AAG.AL,datadistribution.knowdive@unitn.it
2020-DV1-Amrita-Bluetooth Normal Event,"This dataset returns whether the device to wirelessly exchange data with other Bluetooth devices. It is part of Wenet Diversity 1 data collection, which contains data about the everyday life activities of students coming from 8 different universities located in China, Denmark, India, Italy, Mexico, Mongolia, Paraguay and UK. The data were collected via questionnaires, data coming from 27 smartphone sensors associated to thousand self-reported annotations over a period of 4 weeks.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_WeNet_Diversity1_Technical-Report(2020-2021),https://drive.google.com/file/d/1TMrjkAEWRZ5xhETJKOCnERgh_Z06PO2E/view?usp=drive_link,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Bluetooth Normal Event,Amrita (India),10.9,76.9,2021.05.26,,Sensors,Connectivity,"0,52 MB",parquet,csv,12,unknown,Diversity1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-11-30 00:00:00,004.AAAD.AAG.AK,datadistribution.knowdive@unitn.it
2020-DV1-Amrita-Cellular Network,"The dataset returns a sensor that periodically collects information about the cellular networks (name, id, type) the smartphone is connected to. It is part of Wenet Diversity 1 data collection, which contains data about the everyday life activities of students coming from 8 different universities located in China, Denmark, India, Italy, Mexico, Mongolia, Paraguay and UK. The data were collected via questionnaires, data coming from 27 smartphone sensors associated to thousand self-reported annotations over a period of 4 weeks.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_WeNet_Diversity1_Technical-Report(2020-2021),https://drive.google.com/file/d/1TMrjkAEWRZ5xhETJKOCnERgh_Z06PO2E/view?usp=drive_link,PDF,,,,,,,./../../resources/2023LivePeopleLicense.html,Cellular Network,Amrita (India),10.9,76.9,2021.05.26,,Sensors,Connectivity,"0,83 MB",parquet,csv,15,unknown,Diversity1,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-11-30 00:00:00,004.AAAD.AAG.AM,datadistribution.knowdive@unitn.it
